Index ,Name,Rating,Current_Price,Original_Price,Discount,Features
499,"realme TechLife 7 kg 5 Star rating Semi Automatic Top Load Washing Machine White, Black",4.2,"₹7,690","₹12,490",38%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
500,"Panasonic 6.5 kg Semi Automatic Top Load Washing Machine Blue, White",4.3,"₹8,490","₹13,000",34%,1350 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor
501,Thomson 8 kg PureWash Fully Automatic Top Load Washing Machine Grey,4,"₹12,499","₹18,499",32%,840 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
502,"SAMSUNG 8 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey",4.3,"₹19,490","₹27,000",27%,"700 rpm Max Speed5 Star Rating2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
503,Thomson 7.5 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Black,4,"₹7,999","₹11,499",30%,1600 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
504,"FOXSKY 7.5 kg Semi Automatic Top Load Washing Machine White, Maroon",4.1,"₹6,990","₹16,490",57%,1300 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor
505,"Intex 7.5 kg With Lint Filter, Buzzer, Castor Wheel with pad, Collar Scrubber ,Transparent Lid Semi Au...",4.3,"₹7,490","₹13,499",44%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
506,"Intex 6.5 kg With Air Dry Technology, Wave Pulsator Design, Magic Filter Transparent Lid Semi Automati...",4.3,"₹6,990","₹11,499",39%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
507,"LG 7 kg 5 Star with Wind Jet Dry, Collar Scrubber and Rust Free Plastic Base Semi Automatic Top Load W...",4.4,"₹11,490","₹14,190",19%,1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on product and 5 Years on Wash Motor from LG
508,"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey",4.3,"₹12,990","₹22,000",40%,800 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier
509,"SAMSUNG 7 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey",4.3,"₹17,490","₹21,500",18%,"700 rpm Max Speed5 Star Rating2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
510,SAMSUNG 7 kg Diamond Drum Fully Automatic Top Load Washing Machine Silver,4.3,"₹15,690","₹19,800",20%,680 rpm Max Speed3 Star Rating2 year comprehensive warranty on the product
511,"Intex 7 kg With Lint Filter, Buzzer, Castor Wheel with pad, Collar Scrubber ,Transparent Lid Semi Auto...",4.3,"₹7,190","₹12,999",44%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
512,"LG 7 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...",4.3,"₹17,490","₹20,990",16%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 10 Years Warranty on Motor from LG
513,"Whirlpool 7 kg 5 Star with Ace Wash Station, 1400 RPM Speed and Rust Proof Semi Automatic Top Load Was...",4.4,"₹9,990","₹13,550",26%,1400 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty and 5 Years Warranty on Motor
514,"Intex 8 kg With Air Dry Technology, Pulsator Design, Magic Filter Semi Automatic Top Load Washing Mach...",4.3,"₹8,590","₹14,999",42%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
515,Thomson 7 kg PureWash Fully Automatic Top Load Washing Machine Grey,4,"₹11,499","₹16,999",32%,840 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
516,"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey",4.2,"₹8,290","₹13,990",40%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
517,Godrej 7 kg 5 Star with i,4.2,"₹13,990","₹19,890",29%,720 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor
518,realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey,4.1,"₹11,790","₹19,990",41%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor
519,"LG 8 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...",4.3,"₹18,990","₹29,990",36%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor (T&C)
520,Panasonic 6 kg 5 Star 8 Wash Program AquaBeat Wash Fully Automatic Top Load Washing Machine Grey,4.3,"₹13,890","₹16,700",16%,680 rpm Max Speed5 Star Rating2 Year  Comprehensive Warranty and 10 Years on Motor from Panasonic
521,"Whirlpool 8 kg Steam Technology 5 Star Inverter 100+ Tough Stains, 6th Sense Soft Move Fully Automatic...",4.2,"₹31,990","₹40,900",21%,1400 RPM Max Speed5 Star RatingWith In-Built Heater2 Years Warranty on Product and 8 Years Warranty on Motor
522,"realme TechLife 8.5 kg 5 Star rating Semi Automatic Top Load Washing Machine Grey, Black",4.2,"₹9,790","₹18,990",48%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
523,"realme TechLife 7 kg 5 Star rating Semi Automatic Top Load Washing Machine White, Black",4.2,"₹7,690","₹12,490",38%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
524,"Panasonic 6.5 kg Semi Automatic Top Load Washing Machine Blue, White",4.3,"₹8,490","₹13,000",34%,1350 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor
525,Thomson 8 kg PureWash Fully Automatic Top Load Washing Machine Grey,4,"₹12,499","₹18,499",32%,840 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
526,"SAMSUNG 8 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey",4.3,"₹19,490","₹27,000",27%,"700 rpm Max Speed5 Star Rating2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
527,Thomson 7.5 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Black,4,"₹7,999","₹11,499",30%,1600 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
528,"FOXSKY 7.5 kg Semi Automatic Top Load Washing Machine White, Maroon",4.1,"₹6,990","₹16,490",57%,1300 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor
529,"Intex 7.5 kg With Lint Filter, Buzzer, Castor Wheel with pad, Collar Scrubber ,Transparent Lid Semi Au...",4.3,"₹7,490","₹13,499",44%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
530,"Intex 6.5 kg With Air Dry Technology, Wave Pulsator Design, Magic Filter Transparent Lid Semi Automati...",4.3,"₹6,990","₹11,499",39%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
531,"LG 7 kg 5 Star with Wind Jet Dry, Collar Scrubber and Rust Free Plastic Base Semi Automatic Top Load W...",4.4,"₹11,490","₹14,190",19%,1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on product and 5 Years on Wash Motor from LG
532,"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey",4.3,"₹12,990","₹22,000",40%,800 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier
533,"SAMSUNG 7 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey",4.3,"₹17,490","₹21,500",18%,"700 rpm Max Speed5 Star Rating2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
534,SAMSUNG 7 kg Diamond Drum Fully Automatic Top Load Washing Machine Silver,4.3,"₹15,690","₹19,800",20%,680 rpm Max Speed3 Star Rating2 year comprehensive warranty on the product
535,"Intex 7 kg With Lint Filter, Buzzer, Castor Wheel with pad, Collar Scrubber ,Transparent Lid Semi Auto...",4.3,"₹7,190","₹12,999",44%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
536,"LG 7 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...",4.3,"₹17,490","₹20,990",16%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 10 Years Warranty on Motor from LG
537,"Whirlpool 7 kg 5 Star with Ace Wash Station, 1400 RPM Speed and Rust Proof Semi Automatic Top Load Was...",4.4,"₹9,990","₹13,550",26%,1400 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty and 5 Years Warranty on Motor
538,"Intex 8 kg With Air Dry Technology, Pulsator Design, Magic Filter Semi Automatic Top Load Washing Mach...",4.3,"₹8,590","₹14,999",42%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
539,Thomson 7 kg PureWash Fully Automatic Top Load Washing Machine Grey,4,"₹11,499","₹16,999",32%,840 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
540,"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey",4.2,"₹8,290","₹13,990",40%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
541,Godrej 7 kg 5 Star with i,4.2,"₹13,990","₹19,890",29%,720 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor
542,realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey,4.1,"₹11,790","₹19,990",41%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor
543,"LG 8 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...",4.3,"₹18,990","₹29,990",36%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor (T&C)
544,Panasonic 6 kg 5 Star 8 Wash Program AquaBeat Wash Fully Automatic Top Load Washing Machine Grey,4.3,"₹13,890","₹16,700",16%,680 rpm Max Speed5 Star Rating2 Year  Comprehensive Warranty and 10 Years on Motor from Panasonic
545,"Whirlpool 8 kg Steam Technology 5 Star Inverter 100+ Tough Stains, 6th Sense Soft Move Fully Automatic...",4.2,"₹31,990","₹40,900",21%,1400 RPM Max Speed5 Star RatingWith In-Built Heater2 Years Warranty on Product and 8 Years Warranty on Motor
546,"realme TechLife 8.5 kg 5 Star rating Semi Automatic Top Load Washing Machine Grey, Black",4.2,"₹9,790","₹18,990",48%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
547,"realme TechLife 7 kg 5 Star rating Semi Automatic Top Load Washing Machine White, Black",4.2,"₹7,690","₹12,490",38%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
548,"Panasonic 6.5 kg Semi Automatic Top Load Washing Machine Blue, White",4.3,"₹8,490","₹13,000",34%,1350 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor
549,Thomson 8 kg PureWash Fully Automatic Top Load Washing Machine Grey,4,"₹12,499","₹18,499",32%,840 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
550,"SAMSUNG 8 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey",4.3,"₹19,490","₹27,000",27%,"700 rpm Max Speed5 Star Rating2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
551,Thomson 7.5 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Black,4,"₹7,999","₹11,499",30%,1600 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
552,"FOXSKY 7.5 kg Semi Automatic Top Load Washing Machine White, Maroon",4.1,"₹6,990","₹16,490",57%,1300 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor
553,"Intex 7.5 kg With Lint Filter, Buzzer, Castor Wheel with pad, Collar Scrubber ,Transparent Lid Semi Au...",4.3,"₹7,490","₹13,499",44%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
554,"Intex 6.5 kg With Air Dry Technology, Wave Pulsator Design, Magic Filter Transparent Lid Semi Automati...",4.3,"₹6,990","₹11,499",39%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
555,"LG 7 kg 5 Star with Wind Jet Dry, Collar Scrubber and Rust Free Plastic Base Semi Automatic Top Load W...",4.4,"₹11,490","₹14,190",19%,1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on product and 5 Years on Wash Motor from LG
556,"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey",4.3,"₹12,990","₹22,000",40%,800 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier
557,"SAMSUNG 7 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey",4.3,"₹17,490","₹21,500",18%,"700 rpm Max Speed5 Star Rating2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
558,SAMSUNG 7 kg Diamond Drum Fully Automatic Top Load Washing Machine Silver,4.3,"₹15,690","₹19,800",20%,680 rpm Max Speed3 Star Rating2 year comprehensive warranty on the product
559,"Intex 7 kg With Lint Filter, Buzzer, Castor Wheel with pad, Collar Scrubber ,Transparent Lid Semi Auto...",4.3,"₹7,190","₹12,999",44%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
560,"LG 7 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...",4.3,"₹17,490","₹20,990",16%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 10 Years Warranty on Motor from LG
561,"Whirlpool 7 kg 5 Star with Ace Wash Station, 1400 RPM Speed and Rust Proof Semi Automatic Top Load Was...",4.4,"₹9,990","₹13,550",26%,1400 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty and 5 Years Warranty on Motor
562,"Intex 8 kg With Air Dry Technology, Pulsator Design, Magic Filter Semi Automatic Top Load Washing Mach...",4.3,"₹8,590","₹14,999",42%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
563,Thomson 7 kg PureWash Fully Automatic Top Load Washing Machine Grey,4,"₹11,499","₹16,999",32%,840 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
564,"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey",4.2,"₹8,290","₹13,990",40%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
565,Godrej 7 kg 5 Star with i,4.2,"₹13,990","₹19,890",29%,720 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor
566,realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey,4.1,"₹11,790","₹19,990",41%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor
567,"LG 8 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...",4.3,"₹18,990","₹29,990",36%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor (T&C)
568,Panasonic 6 kg 5 Star 8 Wash Program AquaBeat Wash Fully Automatic Top Load Washing Machine Grey,4.3,"₹13,890","₹16,700",16%,680 rpm Max Speed5 Star Rating2 Year  Comprehensive Warranty and 10 Years on Motor from Panasonic
569,"Whirlpool 8 kg Steam Technology 5 Star Inverter 100+ Tough Stains, 6th Sense Soft Move Fully Automatic...",4.2,"₹31,990","₹40,900",21%,1400 RPM Max Speed5 Star RatingWith In-Built Heater2 Years Warranty on Product and 8 Years Warranty on Motor
570,"realme TechLife 8.5 kg 5 Star rating Semi Automatic Top Load Washing Machine Grey, Black",4.2,"₹9,790","₹18,990",48%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
571,"realme TechLife 7 kg 5 Star rating Semi Automatic Top Load Washing Machine White, Black",4.2,"₹7,690","₹12,490",38%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
572,"Panasonic 6.5 kg Semi Automatic Top Load Washing Machine Blue, White",4.3,"₹8,490","₹13,000",34%,1350 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor
573,Thomson 8 kg PureWash Fully Automatic Top Load Washing Machine Grey,4,"₹12,499","₹18,499",32%,840 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
574,"SAMSUNG 8 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey",4.3,"₹19,490","₹27,000",27%,"700 rpm Max Speed5 Star Rating2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
575,Thomson 7.5 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Black,4,"₹7,999","₹11,499",30%,1600 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
576,"FOXSKY 7.5 kg Semi Automatic Top Load Washing Machine White, Maroon",4.1,"₹6,990","₹16,490",57%,1300 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor
577,"Intex 7.5 kg With Lint Filter, Buzzer, Castor Wheel with pad, Collar Scrubber ,Transparent Lid Semi Au...",4.3,"₹7,490","₹13,499",44%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
578,"Intex 6.5 kg With Air Dry Technology, Wave Pulsator Design, Magic Filter Transparent Lid Semi Automati...",4.3,"₹6,990","₹11,499",39%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
579,"LG 7 kg 5 Star with Wind Jet Dry, Collar Scrubber and Rust Free Plastic Base Semi Automatic Top Load W...",4.4,"₹11,490","₹14,190",19%,1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on product and 5 Years on Wash Motor from LG
580,"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey",4.3,"₹12,990","₹22,000",40%,800 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier
581,"SAMSUNG 7 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey",4.3,"₹17,490","₹21,500",18%,"700 rpm Max Speed5 Star Rating2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
582,SAMSUNG 7 kg Diamond Drum Fully Automatic Top Load Washing Machine Silver,4.3,"₹15,690","₹19,800",20%,680 rpm Max Speed3 Star Rating2 year comprehensive warranty on the product
583,"Intex 7 kg With Lint Filter, Buzzer, Castor Wheel with pad, Collar Scrubber ,Transparent Lid Semi Auto...",4.3,"₹7,190","₹12,999",44%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
584,"LG 7 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...",4.3,"₹17,490","₹20,990",16%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 10 Years Warranty on Motor from LG
585,"Whirlpool 7 kg 5 Star with Ace Wash Station, 1400 RPM Speed and Rust Proof Semi Automatic Top Load Was...",4.4,"₹9,990","₹13,550",26%,1400 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty and 5 Years Warranty on Motor
586,"Intex 8 kg With Air Dry Technology, Pulsator Design, Magic Filter Semi Automatic Top Load Washing Mach...",4.3,"₹8,590","₹14,999",42%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
587,Thomson 7 kg PureWash Fully Automatic Top Load Washing Machine Grey,4,"₹11,499","₹16,999",32%,840 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
588,"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey",4.2,"₹8,290","₹13,990",40%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
589,Godrej 7 kg 5 Star with i,4.2,"₹13,990","₹19,890",29%,720 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor
590,realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey,4.1,"₹11,790","₹19,990",41%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor
591,"LG 8 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...",4.3,"₹18,990","₹29,990",36%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor (T&C)
592,Panasonic 6 kg 5 Star 8 Wash Program AquaBeat Wash Fully Automatic Top Load Washing Machine Grey,4.3,"₹13,890","₹16,700",16%,680 rpm Max Speed5 Star Rating2 Year  Comprehensive Warranty and 10 Years on Motor from Panasonic
593,"Whirlpool 8 kg Steam Technology 5 Star Inverter 100+ Tough Stains, 6th Sense Soft Move Fully Automatic...",4.2,"₹31,990","₹40,900",21%,1400 RPM Max Speed5 Star RatingWith In-Built Heater2 Years Warranty on Product and 8 Years Warranty on Motor
594,"realme TechLife 8.5 kg 5 Star rating Semi Automatic Top Load Washing Machine Grey, Black",4.2,"₹9,790","₹18,990",48%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
595,"realme TechLife 7 kg 5 Star rating Semi Automatic Top Load Washing Machine White, Black",4.2,"₹7,690","₹12,490",38%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
596,"Panasonic 6.5 kg Semi Automatic Top Load Washing Machine Blue, White",4.3,"₹8,490","₹13,000",34%,1350 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor
597,Thomson 8 kg PureWash Fully Automatic Top Load Washing Machine Grey,4,"₹12,499","₹18,499",32%,840 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
598,"SAMSUNG 8 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey",4.3,"₹19,490","₹27,000",27%,"700 rpm Max Speed5 Star Rating2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
599,Thomson 7.5 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Black,4,"₹7,999","₹11,499",30%,1600 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
600,"FOXSKY 7.5 kg Semi Automatic Top Load Washing Machine White, Maroon",4.1,"₹6,990","₹16,490",57%,1300 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor
601,"Intex 7.5 kg With Lint Filter, Buzzer, Castor Wheel with pad, Collar Scrubber ,Transparent Lid Semi Au...",4.3,"₹7,490","₹13,499",44%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
602,"Intex 6.5 kg With Air Dry Technology, Wave Pulsator Design, Magic Filter Transparent Lid Semi Automati...",4.3,"₹6,990","₹11,499",39%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
603,"LG 7 kg 5 Star with Wind Jet Dry, Collar Scrubber and Rust Free Plastic Base Semi Automatic Top Load W...",4.4,"₹11,490","₹14,190",19%,1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on product and 5 Years on Wash Motor from LG
604,"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey",4.3,"₹12,990","₹22,000",40%,800 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier
605,"SAMSUNG 7 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey",4.3,"₹17,490","₹21,500",18%,"700 rpm Max Speed5 Star Rating2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
606,SAMSUNG 7 kg Diamond Drum Fully Automatic Top Load Washing Machine Silver,4.3,"₹15,690","₹19,800",20%,680 rpm Max Speed3 Star Rating2 year comprehensive warranty on the product
607,"Intex 7 kg With Lint Filter, Buzzer, Castor Wheel with pad, Collar Scrubber ,Transparent Lid Semi Auto...",4.3,"₹7,190","₹12,999",44%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
608,"LG 7 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...",4.3,"₹17,490","₹20,990",16%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 10 Years Warranty on Motor from LG
609,"Whirlpool 7 kg 5 Star with Ace Wash Station, 1400 RPM Speed and Rust Proof Semi Automatic Top Load Was...",4.4,"₹9,990","₹13,550",26%,1400 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty and 5 Years Warranty on Motor
610,"Intex 8 kg With Air Dry Technology, Pulsator Design, Magic Filter Semi Automatic Top Load Washing Mach...",4.3,"₹8,590","₹14,999",42%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
611,Thomson 7 kg PureWash Fully Automatic Top Load Washing Machine Grey,4,"₹11,499","₹16,999",32%,840 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
612,"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey",4.2,"₹8,290","₹13,990",40%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
613,Godrej 7 kg 5 Star with i,4.2,"₹13,990","₹19,890",29%,720 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor
614,realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey,4.1,"₹11,790","₹19,990",41%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor
615,"LG 8 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...",4.3,"₹18,990","₹29,990",36%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor (T&C)
616,Panasonic 6 kg 5 Star 8 Wash Program AquaBeat Wash Fully Automatic Top Load Washing Machine Grey,4.3,"₹13,890","₹16,700",16%,680 rpm Max Speed5 Star Rating2 Year  Comprehensive Warranty and 10 Years on Motor from Panasonic
617,"Whirlpool 8 kg Steam Technology 5 Star Inverter 100+ Tough Stains, 6th Sense Soft Move Fully Automatic...",4.2,"₹31,990","₹40,900",21%,1400 RPM Max Speed5 Star RatingWith In-Built Heater2 Years Warranty on Product and 8 Years Warranty on Motor
